#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#### EVENTS ####
EVTDESC88300;[From.GetTitledName] has decided to hold a great Furusiyya martial competition. [From.GetSubjectPronounCap] has sent invitations out to warriors across the land. This brings glory and virtue to House [From.GetOnlyDynastyName] in the sight of Allah. May He guide the righteous with a mighty victory!;;;;;;;;;;;;;x
EVTDESC88301;[From.GetTitledName] has been declared the first champion of a great Furusiyya martial competition. So says the Qur'an, "Allah will forgive for you the sins of your past and future and complete His favor upon you and guide you with a mighty victory.";;;;;;;;;;;;;x
EVTOPTA88301;A mighty victory indeed for House [From.GetOnlyDynastyName]!;Félicitations !;Glückwunsch!;;¡Enhorabuena!;;;;;;;;;x
EVTDESC88302;[From.GetTitledName] has been declared the second champion of a great Furusiyya martial competition! [From.GetFirstName] brings glory to all of House [From.GetOnlyDynastyName]!;;;;;;;;;;;;;x
EVTDESC88303;[From.GetTitledName] has won the place of third champion in a great Furusiyya martial competition! House [From.GetOnlyDynastyName] is truly favored by Allah!;;;;;;;;;;;;;x
EVTDESC_HL_10501;Your [eloper.GetSonDaughter] [eloper.GetFirstName] has eloped with the notorious mercenary [From.GetFirstName]. While their union may not be legitimate, it is said that [From.GetFirstName] has [eloper.GetObjectPronoun] wrapped around [From.GetPossPronoun] fingers.;Votre [eloper.GetSonDaughter] [eloper.GetFirstName] a fui avec le célèbre mercenaire [From.GetFirstName].;Euer/Eure [eloper.GetSonDaughter] [eloper.GetFirstName] ist mit dem berüchtigten Söldner [From.GetFirstName] durchgebrannt.;;Tu [eloper.GetSonDaughter] [eloper.GetFirstName] se fugó con el famoso mercenario [From.GetFirstName].;;;;;;;;;x
emf_vanilla.20.desc;§Y[From.Location.GetName]§! was converted to the §Y[From.Religion.GetName]§! faith!;;;;;;;;;;;;;x
emf_vanilla_soa_200;No thanks.;;;;;;;;;;;;;x
#### OPINION MODIFIERS ####
opinion_holding_contests;Holding Contest;;;;;;;;;;;;;x
#### TOOLTIPS ####
emf_dec_feast_tt;The feast will begin in November.;;;;;;;;;;;;;x
emf_dec_fair_tt;The fair will begin in May.;;;;;;;;;;;;;x
emf_dec_hunt_tt;The hunt will begin in September.;;;;;;;;;;;;;x
